Movie,filename,prompt,prediction
Alien_in_Redplanet,shot201_1.mp4,A fairy-tale style illustration of two main characters in a children's picture book: a small  diligent ‘Ant’ and a large  green ‘Grasshopper.’ The ant has a shiny black body  short legs  long antennae  and big eyes. The grasshopper has a green body  holds a violin  and wears a straw hat with round black sunglasses. The setting is a sunlit spring field with fresh green sprouts  painted in soft pastel colors.,54.1822
Alien_in_Redplanet,shot201_2.mp4,A fairy-tale style illustration of two main characters in a children's picture book: a small  diligent ‘Ant’ and a large  green ‘Grasshopper.’ The ant has a shiny black body  short legs  long antennae  and big eyes. The grasshopper has a green body  holds a violin  and wears a straw hat with round black sunglasses. The setting is a sunlit spring field with fresh green sprouts  painted in soft pastel colors.,34.925
Alien_in_Redplanet,shot201_3.mp4,A fairy-tale style illustration of two main characters in a children's picture book: a small  diligent ‘Ant’ and a large  green ‘Grasshopper.’ The ant has a shiny black body  short legs  long antennae  and big eyes. The grasshopper has a green body  holds a violin  and wears a straw hat with round black sunglasses. The setting is a sunlit spring field with fresh green sprouts  painted in soft pastel colors.,70.0193
Alien_in_Redplanet,shot201_4.mp4,A fairy-tale style illustration of two main characters in a children's picture book: a small  diligent ‘Ant’ and a large  green ‘Grasshopper.’ The ant has a shiny black body  short legs  long antennae  and big eyes. The grasshopper has a green body  holds a violin  and wears a straw hat with round black sunglasses. The setting is a sunlit spring field with fresh green sprouts  painted in soft pastel colors.,-42.2669
Alien_in_Redplanet,shot201_5.mp4,A fairy-tale style illustration of two main characters in a children's picture book: a small  diligent ‘Ant’ and a large  green ‘Grasshopper.’ The ant has a shiny black body  short legs  long antennae  and big eyes. The grasshopper has a green body  holds a violin  and wears a straw hat with round black sunglasses. The setting is a sunlit spring field with fresh green sprouts  painted in soft pastel colors.,69.1801
Alien_in_Redplanet,shot202_1.mp4,A wider view of the spring meadow at midday  filled with lush greenery. A group of ants is working together to carry large seeds and leaf pieces. In the background  the grasshopper sits with crossed legs  leisurely playing his violin. The contrast between the ants' diligence and the grasshopper’s relaxed attitude is highlighted in a whimsical  fairy-tale style illustration.,57.3073
Alien_in_Redplanet,shot202_2.mp4,A wider view of the spring meadow at midday  filled with lush greenery. A group of ants is working together to carry large seeds and leaf pieces. In the background  the grasshopper sits with crossed legs  leisurely playing his violin. The contrast between the ants' diligence and the grasshopper’s relaxed attitude is highlighted in a whimsical  fairy-tale style illustration.,36.4167
Alien_in_Redplanet,shot202_3.mp4,A wider view of the spring meadow at midday  filled with lush greenery. A group of ants is working together to carry large seeds and leaf pieces. In the background  the grasshopper sits with crossed legs  leisurely playing his violin. The contrast between the ants' diligence and the grasshopper’s relaxed attitude is highlighted in a whimsical  fairy-tale style illustration.,31.1453
Alien_in_Redplanet,shot202_4.mp4,A wider view of the spring meadow at midday  filled with lush greenery. A group of ants is working together to carry large seeds and leaf pieces. In the background  the grasshopper sits with crossed legs  leisurely playing his violin. The contrast between the ants' diligence and the grasshopper’s relaxed attitude is highlighted in a whimsical  fairy-tale style illustration.,13.4185
Alien_in_Redplanet,shot202_5.mp4,A wider view of the spring meadow at midday  filled with lush greenery. A group of ants is working together to carry large seeds and leaf pieces. In the background  the grasshopper sits with crossed legs  leisurely playing his violin. The contrast between the ants' diligence and the grasshopper’s relaxed attitude is highlighted in a whimsical  fairy-tale style illustration.,60.7976
